X,Y,Z
2.9835,0.936368,29.4229
2.93923,0.924257,29.0782
2.89736,0.916428,28.7193
2.85827,0.912773,28.3501
2.82231,0.913126,27.974
2.78979,0.917279,27.5943
2.76096,0.924988,27.2138
2.73604,0.935985,26.835
2.7152,0.949984,26.4604
2.69857,0.966696,26.092
2.68621,0.985829,25.7318
2.67816,1.0071,25.3816
2.67441,1.03024,25.0431
2.67492,1.055,24.7178
2.6796,1.08115,24.4074
2.68836,1.10847,24.1132
2.70108,1.13677,23.8368
2.71759,1.16589,23.5798
2.73774,1.19566,23.3435
2.76136,1.22595,23.1295
2.78825,1.25663,22.9394
2.81821,1.28757,22.7749
2.85104,1.31864,22.6375
2.88651,1.34971,22.529
2.92439,1.38066,22.4511
2.96442,1.41133,22.4055
3.00634,1.44157,22.394
3.04986,1.4712,22.4182
3.09469,1.50003,22.4798
3.14048,1.52784,22.5803
3.1869,1.55439,22.7208
3.23356,1.57942,22.9025
3.28005,1.60264,23.1259
3.32595,1.62375,23.3912
3.3708,1.64242,23.6982
3.41412,1.65833,24.0457
3.45542,1.67111,24.432
3.4942,1.68044,24.8544
3.52993,1.68597,25.3095
3.56213,1.6874,25.7925
3.5903,1.68446,26.298
3.61398,1.67691,26.8195
3.63276,1.66459,27.3495
3.64628,1.64742,27.8799
3.65425,1.6254,28.4021
3.65645,1.59863,28.907
3.65277,1.56732,29.3859
3.64317,1.53181,29.83
3.62773,1.49251,30.2315
3.60663,1.44997,30.5833
3.58011,1.40481,30.8798
3.54854,1.35773,31.1167
3.51234,1.30949,31.2911
3.47199,1.26088,31.4018
3.42804,1.21269,31.4492
3.38105,1.16568,31.4349
3.33163,1.12059,31.3618
3.28037,1.07808,31.2337
3.22788,1.03875,31.0554
3.17477,1.00309,30.8319
3.12163,0.971504,30.5686
3.06901,0.944298,30.271
3.01747,0.921674,29.9444
2.96752,0.903738,29.594
2.91966,0.890512,29.2247
2.87433,0.881936,28.8409
2.83194,0.87788,28.4467
2.79289,0.878154,28.0458
2.75749,0.882522,27.6415
2.72602,0.890707,27.2368
2.69873,0.902408,26.8344
2.67579,0.917305,26.4366
2.65733,0.935076,26.0455
2.64343,0.955397,25.663
2.63413,0.977958,25.291
2.62942,1.00246,24.9311
2.62924,1.02864,24.5849
2.63351,1.05625,24.2538
2.64211,1.08505,23.9394
2.65492,1.11486,23.643
2.67176,1.1455,23.3663
2.69248,1.17682,23.1106
2.71688,1.20867,22.8775
2.74477,1.24094,22.6687
2.77595,1.2735,22.4857
2.8102,1.30624,22.3304
2.8473,1.33904,22.2044
2.88701,1.37178,22.1097
2.92909,1.40431,22.0481
2.97326,1.4365,22.0216
3.01925,1.46818,22.032
3.06675,1.49914,22.0813
3.11543,1.52918,22.1712
3.16494,1.55806,22.3033
3.21489,1.5855,22.4791
3.26487,1.61122,22.6995
3.31443,1.63488,22.9652
3.3631,1.65614,23.2763
3.41037,1.67464,23.6323
3.45572,1.68999,24.0317
3.49861,1.7018,24.4722
3.53847,1.70971,24.9506
3.57475,1.71332,25.4624
3.6069,1.71232,26.002
3.63441,1.70641,26.5628
3.65678,1.69536,27.137
3.67359,1.67902,27.7157
3.68448,1.65733,28.2896
3.68917,1.63035,28.8485
3.6875,1.59826,29.3825
3.67938,1.56135,29.8816
3.66486,1.52005,30.3366
3.64409,1.47492,30.7391
3.61732,1.42661,31.0823
3.58491,1.37589,31.3608
3.54732,1.32357,31.5709
3.50505,1.27054,31.7109
3.45868,1.21768,31.7808
3.40884,1.16586,31.7822
3.35617,1.11592,31.7182
3.30132,1.06862,31.593
3.24495,1.02464,31.4119
3.18772,0.984562,31.1805
3.13026,0.948858,30.905
3.07319,0.917885,30.5915
3.01709,0.891886,30.246
2.96254,0.870997,29.8744
2.91005,0.855254,29.482
2.86013,0.844601,29.0738
2.81323,0.838903,28.6543
2.76978,0.837957,28.2275
2.73013,0.841501,27.797
2.69461,0.849234,27.3659
2.66348,0.860819,26.937
2.63696,0.875903,26.5127
2.61521,0.894122,26.0952
2.59831,0.915117,25.6865
2.58632,0.938539,25.2883
2.57923,0.964058,24.9022
2.577,0.991371,24.5299
2.57954,1.0202,24.1727
