time,X,Y,Z
5.56,-10.1533,-6.26937,33.2981
5.57,-9.74483,-5.66573,33.0454
5.58,-9.31583,-5.11466,32.7147
5.59,-8.87399,-4.62184,32.3168
5.6,-8.42679,-4.19039,31.8629
5.61,-7.98124,-3.82113,31.3638
5.62,-7.54372,-3.51291,30.8298
5.63,-7.1198,-3.26306,30.2698
5.64,-6.71418,-3.06785,29.6921
5.65,-6.33069,-2.92284,29.1033
5.66,-5.97228,-2.82326,28.5093
5.67,-5.6411,-2.76432,27.9147
5.68,-5.33855,-2.74137,27.3233
5.69,-5.0654,-2.75012,26.7381
5.7,-4.8219,-2.78673,26.1615
5.71,-4.60786,-2.84781,25.5954
5.72,-4.42275,-2.93055,25.0413
5.73,-4.26582,-3.0326,24.5005
5.74,-4.13612,-3.15216,23.9739
5.75,-4.03263,-3.28784,23.4624
5.76,-3.9543,-3.4387,22.9668
5.77,-3.90008,-3.60416,22.488
5.78,-3.86896,-3.78399,22.0266
5.79,-3.86002,-3.97823,21.5834
5.8,-3.87245,-4.18717,21.1593
5.81,-3.90555,-4.41132,20.7551
5.82,-3.95874,-4.65136,20.3721
5.83,-4.03159,-4.9081,20.0111
5.84,-4.12377,-5.18247,19.6737
5.85,-4.23511,-5.47546,19.3612
5.86,-4.36556,-5.78813,19.0754
5.87,-4.51518,-6.12152,18.8181
5.88,-4.68412,-6.47666,18.5916
5.89,-4.87264,-6.85448,18.3982
5.9,-5.08107,-7.2558,18.2408
5.91,-5.30979,-7.68124,18.1224
5.92,-5.5592,-8.13115,18.0467
5.93,-5.82969,-8.60553,18.0173
5.94,-6.12163,-9.10393,18.0386
5.95,-6.43528,-9.62529,18.1153
5.96,-6.77078,-10.1679,18.2523
5.97,-7.12805,-10.729,18.455
5.98,-7.50676,-11.3049,18.729
5.99,-7.90622,-11.8908,19.08
6,-8.32528,-12.48,19.5134
6.01,-8.76223,-13.0647,20.0347
6.02,-9.21473,-13.6348,20.6482
6.03,-9.67959,-14.1786,21.3576
6.04,-10.1528,-14.6823,22.1645
6.05,-10.6291,-15.1302,23.0686
6.06,-11.1025,-15.5049,24.0666
6.07,-11.5655,-15.788,25.1517
6.08,-12.0096,-15.9604,26.3128
6.09,-12.4251,-16.0036,27.534
6.1,-12.8015,-15.901,28.7945
6.11,-13.1274,-15.639,30.0685
6.12,-13.3916,-15.2089,31.326
6.13,-13.5827,-14.6084,32.5334
6.14,-13.6906,-13.8427,33.6556
6.15,-13.7066,-12.9254,34.6583
6.16,-13.6244,-11.8783,35.51
6.17,-13.4408,-10.7306,36.1847
6.18,-13.1558,-9.51716,36.6645
6.19,-12.7731,-8.27592,36.9402
6.2,-12.3001,-7.04507,37.0126
6.21,-11.7474,-5.86015,36.8915
6.22,-11.1283,-4.75149,36.5947
6.23,-10.4576,-3.7425,36.1454
6.24,-9.75138,-2.8488,35.57
6.25,-9.02543,-2.07829,34.8959
6.26,-8.29479,-1.4319,34.1492
6.27,-7.57302,-0.904887,33.3533
6.28,-6.87172,-0.488351,32.5283
6.29,-6.20038,-0.170709,31.6903
